name,base,baseLocal,childCount,children,documentation,kind
ReferralType,nc:ActivityType,ActivityType,8,"[""ReferralActivity"", ""ReferralIssuer"", ""ReferralMandatoryIndicator"", ""ReferralSupervisor"", ""ReferralItem"", ""ReferralEntity"", ""ReferralPerson"", ""ReferralAugmentationPoint""]","A data type for a recommendation of a person to an activity, program, or product.",complexContent-extension
RelatedActivityAssociationType,nc:AssociationType,AssociationType,3,"[""Activity"", ""ActivityRelationAbstract"", ""RelatedActivityAssociationAugmentationPoint""]",A data type for an association between related activities.,complexContent-extension
RelativeLocationHeadingType,nc:RelativeLocationHeadingSimpleType,RelativeLocationHeadingSimpleType,0,[],A data type for a compass heading of a direction from a reference location.,simpleContent-wrapper
RelativeLocationType,structures:ObjectType,ObjectType,6,"[""RelativeLocationDescriptionText"", ""RelativeLocationDirectionAbstract"", ""RelativeLocationDistanceMeasure"", ""RelativeLocationHeadingValue"", ""RelativeLocationReferencePoint"", ""RelativeLocationAugmentationPoint""]",A data type for a location identified by its proximity to another location.,complexContent-extension
ReleaseType,nc:ActivityType,ActivityType,8,"[""ReleasePerson"", ""ReleaseFromLocation"", ""ReleaseIssuer"", ""ReleaseItem"", ""ReleaseRecipient"", ""ReleaseToLocation"", ""ReleaseSupervisor"", ""ReleaseAugmentationPoint""]","A data type for a freeing or discharging of someone or something from an activity, supervision, or obligation.",complexContent-extension
ReportType,nc:DocumentType,DocumentType,7,"[""ReportAssignee"", ""ReportCoverageDateRange"", ""ReportDueDate"", ""ReportFrequencyAbstract"", ""ReportID"", ""ReportTemplateCategoryAbstract"", ""ReportAugmentationPoint""]","A data type for an account given of a particular matter, especially in the form of an official document, after thorough investigation or consideration by an appointed person or body.",complexContent-extension
RequestType,structures:ObjectType,ObjectType,10,"[""RequestContactInformation"", ""RequestDate"", ""RequestDecisionText"", ""RequestDescriptionText"", ""RequestIdentification"", ""RequestText"", ""RequestDecisionDate"", ""RequestCategoryAbstract"", ""RequestStatus"", ""RequestAugmentationPoint""]",A data type for a formal message requesting something that is submitted to an authority.,complexContent-extension
ScheduleDayType,structures:ObjectType,ObjectType,8,"[""ScheduleActivityText"", ""ScheduleDayAbstract"", ""ScheduleDayStatus"", ""ScheduleTimeRange"", ""SchedulePerson"", ""ScheduleDayStartTime"", ""ScheduleDayEndTime"", ""ScheduleDayAugmentationPoint""]",A data type for a plan or agenda for the activities of a day.,complexContent-extension
ScheduleType,structures:ObjectType,ObjectType,8,"[""ScheduleDay"", ""ScheduleDescriptionText"", ""ScheduleEffectiveDateRange"", ""ScheduleExceptionsDescriptionText"", ""ScheduleNonStopIndicator"", ""ScheduleStatus"", ""ScheduleWeekAbstract"", ""ScheduleAugmentationPoint""]","A data type for a schedule providing the beginning and ending hours of operation by weekday, for a designated time period.",complexContent-extension
SecuritiesType,nc:ItemType,ItemType,6,"[""SecuritiesCollectionDateRange"", ""SecuritiesDateSeriesAbstract"", ""SecuritiesDenominationAbstract"", ""SecuritiesCategoryAbstract"", ""SecuritiesIssuer"", ""SecuritiesAugmentationPoint""]",A data type for a financial instrument showing ownership or credit.,complexContent-extension
SeparationCategoryCodeType,nc:SeparationCategoryCodeSimpleType,SeparationCategoryCodeSimpleType,0,[],A data type for a code that identifies the type of separation between the parties in a Person Union.,simpleContent-wrapper
SiteType,structures:ObjectType,ObjectType,6,"[""SiteLocation"", ""SiteMobileDescriptionText"", ""SiteMobileIndicator"", ""SiteOwnerEntity"", ""SiteSpecialInformationText"", ""SiteAugmentationPoint""]",A data type for a specific place or position.,complexContent-extension
SoftwareComponentType,nc:ItemType,ItemType,2,"[""SoftwareComponentVersionID"", ""SoftwareComponentAugmentationPoint""]",A data type for a component of software.,complexContent-extension
SoftwareType,nc:ItemType,ItemType,6,"[""SoftwareName"", ""SoftwareComponent"", ""SoftwareDescriptionText"", ""SoftwareVendorName"", ""SoftwareVersionText"", ""SoftwareAugmentationPoint""]",A data type for a computer application used to process data.,complexContent-extension
SpeedMeasureType,nc:MeasureType,MeasureType,2,"[""SpeedUnitAbstract"", ""SpeedMeasureAugmentationPoint""]",A data type for a measure of a speed or rate of motion.,complexContent-extension
StateType,structures:ObjectType,ObjectType,2,"[""StateRepresentation"", ""StateAugmentationPoint""]","A data type for a state, commonwealth, province, or other such geopolitical subdivision of a country.",complexContent-extension
StatusType,structures:ObjectType,ObjectType,7,"[""StatusAbstract"", ""StatusCommentText"", ""StatusDescriptionText"", ""StatusIssuerIdentification"", ""StatusIssuerText"", ""StatusDate"", ""StatusAugmentationPoint""]",A data type for a state of something or someone.,complexContent-extension
StreetDirectionalType,structures:ObjectType,ObjectType,2,"[""StreetDirectionalRepresentation"", ""StreetDirectionalAugmentationPoint""]",A data type for a direction that appears in a street name.,complexContent-extension
StreetType,structures:ObjectType,ObjectType,8,"[""StreetFullText"", ""StreetNumberText"", ""StreetPredirectional"", ""StreetName"", ""StreetCategoryAbstract"", ""StreetPostdirectional"", ""StreetExtensionText"", ""StreetAugmentationPoint""]","A data type for a road, thoroughfare, or highway.",complexContent-extension
StringListType,nc:StringListSimpleType,StringListSimpleType,0,[],A data type for a white space-delimited list of string.,simpleContent-wrapper
StudentType,nc:PersonType,PersonType,2,"[""StudentIdentification"", ""StudentAugmentationPoint""]","A data type for a person formally engaged in learning, especially one enrolled in a school or college.",complexContent-extension
SubstanceMeasureType,nc:MeasureType,MeasureType,2,"[""SubstanceUnitAbstract"", ""SubstanceMeasureAugmentationPoint""]",A data type for a measure of the amount of something.,complexContent-extension
